School Year,Division Number,Division Name,School Number,School Name,Total Count
2022-2023,43,Henrico County ,710,Shady Grove Elementary,              81
2022-2023,43,Henrico County ,60,Short Pump Elementary,              59
2022-2023,43,Henrico County ,80,Short Pump Middle,              97
2022-2023,43,Henrico County ,480,Skipwith Elementary,              63
2022-2023,43,Henrico County ,230,Springfield Park Elementary,              87
2022-2023,43,Henrico County ,10,Three Chopt Elementary,              44
2022-2023,43,Henrico County ,360,Tuckahoe Elementary,              96
2022-2023,43,Henrico County ,520,Tuckahoe Middle,             109
2022-2023,43,Henrico County ,310,Twin Hickory Elementary,              61
2022-2023,43,Henrico County ,290,Varina Elementary,              45
2022-2023,43,Henrico County ,580,Varina High,             305
2022-2023,44,Henry County ,361,Axton Elementary,              41
2022-2023,44,Henry County ,10,Bassett High,             187
2022-2023,44,Henry County ,590,Campbell Court Elementary,              41
2022-2023,44,Henry County ,530,Drewry Mason Elementary,              59
2022-2023,44,Henry County ,620,Fieldale-Collinsville Middle ,             126
2022-2023,44,Henry County ,480,G.W. Carver Elementary ,              87
2022-2023,44,Henry County ,670,Laurel Park Middle ,             108
2022-2023,44,Henry County ,20,Magna Vista High,             152
2022-2023,44,Henry County ,661,Meadow View Elementary,             112
2022-2023,44,Henry County ,872,Mount Olivet Elementary ,              39
2022-2023,44,Henry County ,740,Rich Acres Elementary,              47
2022-2023,44,Henry County ,220,Sanville Elementary,              34
2022-2023,44,Henry County ,760,Stanleytown Elementary,              52
2022-2023,45,Highland County ,110,Highland Elementary,              18
2022-2023,45,Highland County ,220,Highland High,              12
2022-2023,114,Hopewell City ,110,Carter G. Woodson Middle,             170
2022-2023,114,Hopewell City ,40,Dupont Elementary,             133
2022-2023,114,Hopewell City ,140,Harry E. James Elementary,             110
2022-2023,114,Hopewell City ,120,Hopewell High,             182
2022-2023,114,Hopewell City ,70,Patrick Copeland Elementary,              97
2022-2023,114,Hopewell City ,151,Woodlawn Pre-School Learning Center,              49
2022-2023,46,Isle of Wight County ,421,Carrollton Elementary,              86
2022-2023,46,Isle of Wight County ,280,Carrsville Elementary,              34
2022-2023,46,Isle of Wight County ,422,Georgie D. Tyler Middle,              65
2022-2023,46,Isle of Wight County ,320,Hardy Elementary,              67
2022-2023,46,Isle of Wight County ,40,Smithfield High,             185
2022-2023,46,Isle of Wight County ,50,Smithfield Middle,              96
2022-2023,46,Isle of Wight County ,424,Westside Elementary,             128
2022-2023,46,Isle of Wight County ,240,Windsor Elementary,             107
2022-2023,46,Isle of Wight County ,250,Windsor High,              72
2022-2023,48,King George County ,100,King George Elementary,             173
2022-2023,48,King George County ,120,King George High,             189
2022-2023,48,King George County ,10,King George Middle,             139
2022-2023,48,King George County ,50,Potomac Elementary,              90
2022-2023,48,King George County ,221,Sealston Elementary ,              95
2022-2023,50,King William County ,180,Acquinton Elementary,              53
2022-2023,50,King William County ,190,Cool Spring Primary,              75
2022-2023,50,King William County ,160,Hamilton Holmes Middle,              62
2022-2023,50,King William County ,130,King William High,             108
2022-2023,49,King and Queen County ,280,Central High,              51
2022-2023,49,King and Queen County ,200,King & Queen Elementary,              50
2022-2023,49,King and Queen County ,290,Lawson-Marriott Elementary,              58
2022-2023,51,Lancaster County ,310,Lancaster Early Childhood Education Center,<
2022-2023,51,Lancaster County ,10,Lancaster High,              66
2022-2023,51,Lancaster County ,110,Lancaster Middle,              34
2022-2023,51,Lancaster County ,210,Lancaster Primary,              56
2022-2023,52,Lee County ,160,Dryden Elementary,              49
2022-2023,52,Lee County ,330,Elk Knob Elementary,              42
2022-2023,52,Lee County ,820,Elydale Middle,              25
2022-2023,52,Lee County ,630,Flatwoods Elementary,              61
2022-2023,52,Lee County ,470,Jonesville Middle,              51
2022-2023,52,Lee County ,300,Lee High,             113
2022-2023,52,Lee County ,290,Pennington Middle,              68
2022-2023,52,Lee County ,670,Rose Hill Elementary,              45
2022-2023,52,Lee County ,200,St. Charles Elementary,              31
2022-2023,52,Lee County ,880,Thomas Walker High,              57
2022-2023,137,Lexington City ,1390,Harrington Waddell Elementary,              31
2022-2023,137,Lexington City ,1440,Lylburn Downing Middle,<
2022-2023,137,Lexington City ,22,Rockbridge County High,              18
2022-2023,53,Loudoun County ,510,Aldie Elementary,              12
2022-2023,53,Loudoun County ,150,Algonkian Elementary,              91
2022-2023,53,Loudoun County ,610,Arcola Elementary,              73
2022-2023,53,Loudoun County ,170,Ashburn Elementary,              72
2022-2023,53,Loudoun County ,220,Ball's Bluff Elementary,              51
2022-2023,53,Loudoun County ,650,Banneker Elementary,              26
2022-2023,53,Loudoun County ,940,Belmont Ridge Middle,              96
2022-2023,53,Loudoun County ,300,Belmont Station Elementary ,             112
2022-2023,53,Loudoun County ,790,Blue Ridge Middle,             132
2022-2023,53,Loudoun County ,1120,Brambleton Middle,             128
2022-2023,53,Loudoun County ,420,Briar Woods High ,             158
2022-2023,53,Loudoun County ,740,Broad Run High,             156
2022-2023,53,Loudoun County ,450,Buffalo Trail Elementary,              69
2022-2023,53,Loudoun County ,460,Cardinal Ridge Elementary ,              72
2022-2023,53,Loudoun County ,710,Catoctin Elementary,              83
2022-2023,53,Loudoun County ,840,Cedar Lane Elementary,              90
2022-2023,53,Loudoun County ,160,Cool Spring Elementary,              76
2022-2023,53,Loudoun County ,890,Countryside Elementary,              81
2022-2023,53,Loudoun County ,540,Creighton's Corner Elementary,              77
2022-2023,53,Loudoun County ,1000,Discovery Elementary,              93
2022-2023,53,Loudoun County ,31,Dominion High,             182
2022-2023,53,Loudoun County ,470,Dominion Trail Elementary,              67
2022-2023,53,Loudoun County ,880,Eagle Ridge Middle,             128
2022-2023,53,Loudoun County ,1151,Elaine E. Thompson Elementary,              64
2022-2023,53,Loudoun County ,730,Emerick Elementary,              49
2022-2023,53,Loudoun County ,190,Evergreen Mill Elementary,              80
2022-2023,53,Loudoun County ,210,Farmwell Station Middle,             105
2022-2023,53,Loudoun County ,970,Forest Grove Elementary,              91
2022-2023,53,Loudoun County ,91,Frances Hazel Reid Elementary,              64
2022-2023,53,Loudoun County ,530,Frederick Douglass Elementary,             117
2022-2023,53,Loudoun County ,120,Freedom High ,             174
2022-2023,53,Loudoun County ,371,Goshen Post Elementary,              95
2022-2023,53,Loudoun County ,720,Guilford Elementary,              41
2022-2023,53,Loudoun County ,230,Hamilton Elementary,              30
2022-2023,53,Loudoun County ,921,Harmony Middle,             185
2022-2023,53,Loudoun County ,520,Harper Park Middle,             121
2022-2023,53,Loudoun County ,900,Heritage High,             215
2022-2023,53,Loudoun County ,111,Hillsboro Charter Academy,<
2022-2023,53,Loudoun County ,400,Hillside Elementary,              68
2022-2023,53,Loudoun County ,820,Horizon Elementary,              87
2022-2023,53,Loudoun County ,1131,Hovatter Elementary,              91
2022-2023,53,Loudoun County ,960,Hutchison Farm Elementary,              98
2022-2023,53,Loudoun County ,1110,Independence High,             191
2022-2023,53,Loudoun County ,20,J. Lupton Simpson Middle,             136
2022-2023,53,Loudoun County ,580,J. Michael Lunsford Middle,             159
2022-2023,53,Loudoun County ,370,John Champe High,             140
2022-2023,53,Loudoun County ,950,John W. Tolbert Jr. Elementary ,              78
2022-2023,53,Loudoun County ,600,Kenneth W.Culbert Elementary,              59
2022-2023,53,Loudoun County ,80,Leesburg Elementary,              66
2022-2023,53,Loudoun County ,430,Legacy Elementary ,              91
2022-2023,53,Loudoun County ,560,Liberty Elementary,              82
2022-2023,53,Loudoun County ,1130,Lightridge High,             139
2022-2023,53,Loudoun County ,290,Lincoln Elementary,<
2022-2023,53,Loudoun County ,860,Little River Elementary,             103
2022-2023,53,Loudoun County ,660,Loudoun County High,             189
2022-2023,53,Loudoun County ,680,Loudoun Valley High,             202
2022-2023,53,Loudoun County ,780,Lovettsville Elementary,              82
2022-2023,53,Loudoun County ,500,Lowes Island Elementary,              64
2022-2023,53,Loudoun County ,130,Lucketts Elementary,              29
2022-2023,53,Loudoun County ,1030,Madison's Trust Elementary,              70
2022-2023,53,Loudoun County ,70,Meadowland Elementary,              54
2022-2023,53,Loudoun County ,320,Mercer Middle ,             124
2022-2023,53,Loudoun County ,1200,Middleburg Community Charter,              20
2022-2023,53,Loudoun County ,910,Mill Run Elementary,              71
2022-2023,53,Loudoun County ,380,Moorefield Station Elementary,              99
2022-2023,53,Loudoun County ,980,Mountain View Elementary,             128
2022-2023,53,Loudoun County ,270,Newton-Lee Elementary ,              60
2022-2023,53,Loudoun County ,60,Park View High,             171
2022-2023,53,Loudoun County ,340,Pinebrook Elementary,              79
2022-2023,53,Loudoun County ,140,Potomac Falls High,             194
2022-2023,53,Loudoun County ,250,Potowmack Elementary,              73
2022-2023,53,Loudoun County ,930,River Bend Middle,             189
2022-2023,53,Loudoun County ,1050,Riverside High,             173
2022-2023,53,Loudoun County ,1060,Rock Ridge High,             112
2022-2023,53,Loudoun County ,40,Rolling Ridge Elementary,              42
2022-2023,53,Loudoun County ,550,Rosa Lee Carter Elementary,              85
2022-2023,53,Loudoun County ,180,Round Hill Elementary,              95
2022-2023,53,Loudoun County ,240,Sanders Corner Elementary,              51
2022-2023,53,Loudoun County ,870,Seldens Landing Elementary,              49
2022-2023,53,Loudoun County ,30,Seneca Ridge Middle,             134
2022-2023,53,Loudoun County ,90,Smart's Mill Middle ,             126
2022-2023,53,Loudoun County ,690,Sterling Elementary,              43
2022-2023,53,Loudoun County ,760,Sterling Middle,             129
2022-2023,53,Loudoun County ,350,Steuart W. Weller Elementary,              74
2022-2023,53,Loudoun County ,850,Stone Bridge High,             231
2022-2023,53,Loudoun County ,570,Stone Hill Middle,              75
2022-2023,53,Loudoun County ,10,Sugarland Elementary,              55
2022-2023,53,Loudoun County ,750,Sully Elementary,              51
2022-2023,53,Loudoun County ,280,Sycolin Creek Elementary,              79
2022-2023,53,Loudoun County ,1371,Thomas Jefferson High for Science and Technology,<
2022-2023,53,Loudoun County ,1040,Trailside Middle,             120
2022-2023,53,Loudoun County ,200,Tuscarora High,             187
2022-2023,53,Loudoun County ,700,Waterford Elementary,              22
2022-2023,53,Loudoun County ,1140,Waxpool Elementary,              81
2022-2023,53,Loudoun County ,360,Willard Middle,             125
2022-2023,53,Loudoun County ,590,Woodgrove High,             248
2022-2023,54,Louisa County ,660,Jouett Elementary,             105
2022-2023,54,Louisa County ,602,Louisa County High,             290
2022-2023,54,Louisa County ,601,Louisa County Middle,             199
2022-2023,54,Louisa County ,80,Moss-Nuckols Elementary,              84
2022-2023,54,Louisa County ,610,Thomas Jefferson Elementary,              88
2022-2023,54,Louisa County ,641,Trevilians Elementary,              96
2022-2023,55,Lunenburg County ,560,Central High,              62
2022-2023,55,Lunenburg County ,240,Kenbridge Elementary,              71
2022-2023,55,Lunenburg County ,171,Lunenburg Middle,              50
2022-2023,55,Lunenburg County ,140,Victoria Elementary,              51
2022-2023,115,Lynchburg City ,290,Bedford Hills Elementary,              85
2022-2023,115,Lynchburg City ,70,Dearington Elementary/Innovation ,              26
2022-2023,115,Lynchburg City ,260,E.C. Glass High ,             173
2022-2023,115,Lynchburg City ,1102,Heritage Elementary,              67
2022-2023,115,Lynchburg City ,130,Heritage High,             139
2022-2023,115,Lynchburg City ,360,Linkhorne Elementary,              61
2022-2023,115,Lynchburg City ,350,Linkhorne Middle,              89
2022-2023,115,Lynchburg City ,170,Paul Laurence Dunbar Middle for Innovation ,              67
2022-2023,115,Lynchburg City ,330,Paul Munro Elementary,              43
2022-2023,115,Lynchburg City ,270,Perrymont Elementary,              65
2022-2023,115,Lynchburg City ,190,Robert S. Payne Elementary,              75
2022-2023,115,Lynchburg City ,370,Sandusky Elementary,              46
2022-2023,115,Lynchburg City ,340,Sandusky Middle,             116
2022-2023,115,Lynchburg City ,300,Sheffield Elementary,              89
2022-2023,115,Lynchburg City ,90,T.C. Miller Elementary School for Innovation,              22
2022-2023,115,Lynchburg City ,250,William M. Bass Elementary,              22
2022-2023,56,Madison County ,221,Madison County High,              49
2022-2023,56,Madison County ,230,Madison Primary,              38
2022-2023,56,Madison County ,200,Waverly Yowell Elementary,              48
2022-2023,56,Madison County ,222,William H. Wetsel Middle,              39
2022-2023,143,Manassas City ,470,Baldwin Elementary,              66
2022-2023,143,Manassas City ,471,Baldwin Intermediate,              24
2022-2023,143,Manassas City ,60,George Carr Round Elementary,              54
2022-2023,143,Manassas City ,70,Grace E. Metz Middle ,             113
2022-2023,143,Manassas City ,310,Jennie Dean Elementary,             139
2022-2023,143,Manassas City ,80,Mayfield Intermediate,              69
2022-2023,143,Manassas City ,370,Osbourn High,             271
2022-2023,143,Manassas City ,20,Richard C. Haydon Elementary,              63
2022-2023,143,Manassas City ,10,Weems Elementary,              58
2022-2023,144,Manassas Park City ,522,Cougar Elementary,             146
2022-2023,144,Manassas Park City ,420,Manassas Park Elementary,             104
2022-2023,144,Manassas Park City ,30,Manassas Park High,             115
2022-2023,144,Manassas Park City ,31,Manassas Park Middle,             129
2022-2023,116,Martinsville City ,222,Albert Harris Elementary,              62
2022-2023,116,Martinsville City ,224,Clearview Early Learning Center,              13
2022-2023,116,Martinsville City ,110,Martinsville High,              64
2022-2023,116,Martinsville City ,10,Martinsville Middle,              52
2022-2023,116,Martinsville City ,223,Patrick Henry Elementary,              41
2022-2023,57,Mathews County ,291,Mathews Elementary,              73
2022-2023,57,Mathews County ,190,Mathews High,              46
2022-2023,57,Mathews County ,100,Thomas Hunter Middle,              49
2022-2023,58,Mecklenburg County ,910,Chase City Elementary,              36
2022-2023,58,Mecklenburg County ,1000,Clarksville Elementary,              72
2022-2023,58,Mecklenburg County ,1020,LaCrosse Elementary ,              52
2022-2023,58,Mecklenburg County ,1041,Mecklenburg County High,             121
2022-2023,58,Mecklenburg County ,1040,Mecklenburg County Middle,             121
2022-2023,58,Mecklenburg County ,190,South Hill Elementary,              65
2022-2023,59,Middlesex County ,291,Middlesex Elementary,             115
2022-2023,59,Middlesex County ,90,Middlesex High,              53
2022-2023,59,Middlesex County ,140,St. Clare Walker Middle,              42
2022-2023,60,Montgomery County ,902,Auburn Elementary,              66
2022-2023,60,Montgomery County ,650,Auburn High,              62
2022-2023,60,Montgomery County ,903,Auburn Middle,              43
2022-2023,60,Montgomery County ,700,Belview Elementary,              39
2022-2023,60,Montgomery County ,760,Blacksburg High,             140
2022-2023,60,Montgomery County ,710,Blacksburg Middle,             120
2022-2023,60,Montgomery County ,740,Christiansburg Elementary,              56
2022-2023,60,Montgomery County ,770,Christiansburg High,             140
2022-2023,60,Montgomery County ,671,Christiansburg Middle,             105
2022-2023,60,Montgomery County ,780,Christiansburg Primary,              49
2022-2023,60,Montgomery County ,30,Eastern Montgomery Elementary,              65
2022-2023,60,Montgomery County ,904,Eastern Montgomery High,              45
2022-2023,60,Montgomery County ,600,Falling Branch Elementary,              88
2022-2023,60,Montgomery County ,750,Gilbert Linkous Elementary,              32
2022-2023,60,Montgomery County ,10,Harding Avenue Elementary,              31
2022-2023,60,Montgomery County ,901,Kipps Elementary,              39
2022-2023,60,Montgomery County ,730,Margaret Beeks Elementary,              37
2022-2023,60,Montgomery County ,210,Prices Fork Elementary,              51
2022-2023,60,Montgomery County ,290,Shawsville Middle,              36
2022-2023,62,Nelson County ,710,Nelson County High,              89
2022-2023,62,Nelson County ,730,Nelson Middle,              71
2022-2023,62,Nelson County ,10,Rockfish River Elementary,              46
2022-2023,62,Nelson County ,20,Tye River Elementary,              64
2022-2023,63,New Kent County ,180,George W. Watkins Elementary,              45
2022-2023,63,New Kent County ,10,New Kent Elementary ,              85
2022-2023,63,New Kent County ,20,New Kent High ,             121
2022-2023,63,New Kent County ,100,New Kent Middle ,              93
2022-2023,63,New Kent County ,300,Quinton Elementary,              76
2022-2023,117,Newport News City ,1404,Achievable Dream Academy,              48
2022-2023,117,Newport News City ,1405,Achievable Dream Middle/High ,              24
2022-2023,117,Newport News City ,1250,B.C. Charles Elementary ,              68
2022-2023,117,Newport News City ,110,B.T. Washington Middle ,              38
2022-2023,117,Newport News City ,1170,Carver Elementary,              81
2022-2023,117,Newport News City ,1393,Crittenden Middle,             135
2022-2023,117,Newport News City ,50,David A. Dutrow Elementary,              20
2022-2023,117,Newport News City ,1398,Deer Park Elementary,              38
2022-2023,117,Newport News City ,1402,Denbigh Early Childhood Center,              51
2022-2023,117,Newport News City ,280,Denbigh High,             220
2022-2023,117,Newport News City ,130,Discovery STEM Academy,              77
2022-2023,117,Newport News City ,20,Ella J. Fitzgerald Middle ,             149
2022-2023,117,Newport News City ,1260,Ethel M. Gildersleeve Middle,             176
2022-2023,117,Newport News City ,1407,General Stanford Elementary,              52
2022-2023,117,Newport News City ,70,George J. McIntosh Elementary ,              94
2022-2023,117,Newport News City ,1395,Heritage High,             216
2022-2023,117,Newport News City ,1210,Hidenwood Elementary,              66
2022-2023,117,Newport News City ,1080,Hilton Elementary,              29
2022-2023,117,Newport News City ,1270,Homer L. Hines Middle,             136
2022-2023,117,Newport News City ,91,Huntington Middle,              89
2022-2023,117,Newport News City ,1411,John Marshall Early Childhood Center,              25
2022-2023,117,Newport News City ,300,Joseph H. Saunders Elementary,              47
2022-2023,117,Newport News City ,1180,Katherine Johnson Elementary,              78
2022-2023,117,Newport News City ,1290,Kiln Creek Elementary,             104
2022-2023,117,Newport News City ,310,Knollwood Meadows Elementary ,             103
2022-2023,117,Newport News City ,200,L.F. Palmer Elementary ,              21
2022-2023,117,Newport News City ,1400,Mary Passage Middle,             178
2022-2023,117,Newport News City ,1220,Menchville High,             258
2022-2023,117,Newport News City ,1120,Newsome Park Elementary,              67
2022-2023,117,Newport News City ,150,Oliver C. Greenwood Elementary,              38
2022-2023,117,Newport News City ,270,Richard T. Yates Elementary,              75
2022-2023,117,Newport News City ,1230,Richneck Elementary,              34
2022-2023,117,Newport News City ,1150,Riverside Elementary,              65
2022-2023,117,Newport News City ,250,Sedgefield Elementary,              60
2022-2023,117,Newport News City ,1240,Stoney Run Elementary ,              74
2022-2023,117,Newport News City ,290,T. Ryland Sanford Elementary,              47
2022-2023,117,Newport News City ,1070,Warwick High,             220
2022-2023,117,Newport News City ,1410,Watkins Early Childhood Center,              60
2022-2023,117,Newport News City ,320,Willis A. Jenkins Elementary,              54
2022-2023,117,Newport News City ,1396,Woodside High,             238
2022-2023,118,Norfolk City ,185,Academy for Discovery at Lakewood,              77
2022-2023,118,Norfolk City ,760,Azalea Gardens Middle,             124
2022-2023,118,Norfolk City ,250,Bay View Elementary,              60
2022-2023,118,Norfolk City ,510,Berkley/Campostella Early Childhood Education Center,              18
2022-2023,118,Norfolk City ,20,Blair Middle,             206
2022-2023,118,Norfolk City ,880,Booker T Washington High,             219
2022-2023,118,Norfolk City ,40,Camp Allen Elementary,              38
2022-2023,118,Norfolk City ,220,Chesterfield Elementary,              32
2022-2023,118,Norfolk City ,550,Coleman Place Elementary,              74
2022-2023,118,Norfolk City ,560,Crossroads PreK-8 School,             150
2022-2023,118,Norfolk City ,740,Easton Preschool at Fairlawn,              93
2022-2023,118,Norfolk City ,90,Ghent K-8,              56
2022-2023,118,Norfolk City ,420,Granby Elementary,              48
2022-2023,118,Norfolk City ,390,Granby High,             251
2022-2023,118,Norfolk City ,610,Ingleside Elementary,              58
2022-2023,118,Norfolk City ,430,Jacox Elementary,              62
2022-2023,118,Norfolk City ,131,James Monroe Elementary,              43
2022-2023,118,Norfolk City ,790,Lake Taylor,              79
2022-2023,118,Norfolk City ,840,Lake Taylor High ,             163
2022-2023,118,Norfolk City ,210,Larchmont Elementary,              52
2022-2023,118,Norfolk City ,670,Larrymore Elementary,             101
2022-2023,118,Norfolk City ,520,Lindenwood Elementary,              35
2022-2023,118,Norfolk City ,682,Little Creek Elementary,             109
2022-2023,118,Norfolk City ,460,Mary Calcott Elementary,              49
2022-2023,118,Norfolk City ,10,Matthew Fontaine Maury High,             221
2022-2023,118,Norfolk City ,490,Northside Middle,             141
2022-2023,118,Norfolk City ,620,Norview Elementary,              64
2022-2023,118,Norfolk City ,580,Norview High,             250
2022-2023,118,Norfolk City ,570,Norview Middle,             209
2022-2023,118,Norfolk City ,190,Ocean View Elementary,              63
2022-2023,118,Norfolk City ,630,Oceanair Elementary,              48
2022-2023,118,Norfolk City ,530,P.B. Young Sr. Elementary ,              19
2022-2023,118,Norfolk City ,480,Richard Bowling Elementary,              68
2022-2023,118,Norfolk City ,850,Sewells Point Elementary,             126
2022-2023,118,Norfolk City ,650,Sherwood Forest Elementary,              55
2022-2023,118,Norfolk City ,770,Southside STEM Academy at Campostella ,             107
2022-2023,118,Norfolk City ,820,St. Helena Elementary,              21
2022-2023,118,Norfolk City ,500,Suburban Park Elementary,              78
2022-2023,118,Norfolk City ,100,Tanners Creek Elementary,              73
2022-2023,118,Norfolk City ,800,Tarrallton Elementary,              44
2022-2023,118,Norfolk City ,780,Tidewater Park Elementary,              25
2022-2023,118,Norfolk City ,150,Walter Herron Taylor Elementary,              33
2022-2023,118,Norfolk City ,471,Willard Elementary,              76
2022-2023,118,Norfolk City ,30,William H. Ruffner Middle,              71
2022-2023,118,Norfolk City ,860,Willoughby Early Childhood Center,              43
2022-2023,65,Northampton County ,452,Kiptopeke Elementary,              56
2022-2023,65,Northampton County ,350,Northampton High,              70
2022-2023,65,Northampton County ,360,Northampton Middle,              23
2022-2023,65,Northampton County ,451,Occohannock Elementary,              59
2022-2023,66,Northumberland County ,331,Northumberland Elementary,              70
2022-2023,66,Northumberland County ,40,Northumberland High,              59
2022-2023,66,Northumberland County ,210,Northumberland Middle,              26
2022-2023,119,Norton City ,20,J.I. Burton High ,              51
2022-2023,119,Norton City ,40,Norton Elementary,              98
2022-2023,67,Nottoway County ,340,Blackstone Primary,              57
2022-2023,67,Nottoway County ,330,Crewe Primary,              44
2022-2023,67,Nottoway County ,301,Nottoway High,              76
2022-2023,67,Nottoway County ,300,Nottoway Intermediate,              40
2022-2023,67,Nottoway County ,302,Nottoway Middle,              32
2022-2023,68,Orange County ,360,Gordon-Barbour Elementary,              46
2022-2023,68,Orange County ,70,Lightfoot Elementary,              26
2022-2023,68,Orange County ,50,Locust Grove Elementary,              77
2022-2023,68,Orange County ,471,Locust Grove Middle,              91
2022-2023,68,Orange County ,51,Locust Grove Primary,              61
2022-2023,68,Orange County ,330,Orange County High ,             213
2022-2023,68,Orange County ,370,Orange Elementary,              74
2022-2023,68,Orange County ,340,Prospect Heights Middle,              74
2022-2023,68,Orange County ,350,Unionville Elementary,              21
2022-2023,69,Page County ,350,Luray Elementary,              83
2022-2023,69,Page County ,110,Luray High,              75
2022-2023,69,Page County ,400,Luray Middle,              54
2022-2023,69,Page County ,380,Page County High,              43
2022-2023,69,Page County ,390,Page County Middle,              26
2022-2023,69,Page County ,310,Shenandoah Elementary,              39
2022-2023,69,Page County ,50,Springfield Elementary,              26
2022-2023,69,Page County ,210,Stanley Elementary,              46
2022-2023,70,Patrick County ,440,Blue Ridge Elementary,              38
2022-2023,70,Patrick County ,350,Hardin Reynolds Memorial School,              48
2022-2023,70,Patrick County ,150,Meadows of Dan Elementary ,              54
2022-2023,70,Patrick County ,700,Patrick County High,             124
2022-2023,70,Patrick County ,680,Patrick Springs Primary,              72
2022-2023,70,Patrick County ,320,Stuart Elementary,              82
2022-2023,70,Patrick County ,80,Woolwine Elementary,              34
2022-2023,120,Petersburg City ,110,Cool Spring Elementary,              34
2022-2023,120,Petersburg City ,170,Lakemont Elementary,              32
2022-2023,120,Petersburg City ,200,Petersburg High,             167
2022-2023,120,Petersburg City ,180,Pleasants Lane Elementary,              49
2022-2023,120,Petersburg City ,121,Vernon Johns Middle,             130
2022-2023,120,Petersburg City ,130,Walnut Hill Elementary,              50
2022-2023,120,Petersburg City ,160,Westview Early Childhood Education Center,<
2022-2023,71,Pittsylvania County ,1853,Brosville Elementary ,              33
2022-2023,71,Pittsylvania County ,640,Chatham Elementary,              44
2022-2023,71,Pittsylvania County ,1720,Chatham High,              77
2022-2023,71,Pittsylvania County ,1660,Chatham Middle,              47
2022-2023,71,Pittsylvania County ,1680,Dan River High,              94
2022-2023,71,Pittsylvania County ,1090,Dan River Middle,              49
2022-2023,71,Pittsylvania County ,280,Gretna Elementary,              53
2022-2023,71,Pittsylvania County ,1700,Gretna High,              70
2022-2023,71,Pittsylvania County ,290,Gretna Middle,              48
2022-2023,71,Pittsylvania County ,30,John L. Hurt Elementary,              34
2022-2023,71,Pittsylvania County ,1690,Kentuck Elementary,              53
2022-2023,71,Pittsylvania County ,1750,Mount Airy Elementary,              18
2022-2023,71,Pittsylvania County ,1460,Southside Elementary,              47
2022-2023,71,Pittsylvania County ,1710,Stony Mill Elementary,              54
2022-2023,71,Pittsylvania County ,1730,Tunstall High,              94
2022-2023,71,Pittsylvania County ,1130,Tunstall Middle,              61
2022-2023,71,Pittsylvania County ,1851,Twin Springs Elementary,              80
2022-2023,71,Pittsylvania County ,1740,Union Hall Elementary,              19
2022-2023,142,Poquoson City ,150,Poquoson Elementary,              60
2022-2023,142,Poquoson City ,10,Poquoson High,              80
2022-2023,142,Poquoson City ,130,Poquoson Middle,              34
2022-2023,142,Poquoson City ,160,Poquoson Primary,              85
2022-2023,121,Portsmouth City ,1766,Brighton Elementary ,              27
2022-2023,121,Portsmouth City ,321,Churchland Academy Elementary,              67
2022-2023,121,Portsmouth City ,650,Churchland Elementary,              77
2022-2023,121,Portsmouth City ,500,Churchland High,             177
2022-2023,121,Portsmouth City ,320,Churchland Middle,             123
2022-2023,121,Portsmouth City ,322,Churchland Preschool Center,              23
2022-2023,121,Portsmouth City ,160,Churchland Primary & Intermediate,              51
2022-2023,121,Portsmouth City ,1400,Cradock Elementary,              54
2022-2023,121,Portsmouth City ,1130,Cradock Middle,              89
2022-2023,121,Portsmouth City ,190,Douglass Park Elementary,              43
2022-2023,121,Portsmouth City ,1630,Hodges Manor Elementary,              41
2022-2023,121,Portsmouth City ,240,I.C. Norcom High,             168
2022-2023,121,Portsmouth City ,1650,Lakeview Elementary,              66
2022-2023,121,Portsmouth City ,1660,Manor High,             163
2022-2023,121,Portsmouth City ,1768,Mount Hermon Preschool Center,              39
2022-2023,121,Portsmouth City ,1770,Olive Branch Preschool Center,              39
2022-2023,121,Portsmouth City ,60,Park View Elementary,              60
2022-2023,121,Portsmouth City ,290,Simonsdale Elementary,              86
2022-2023,121,Portsmouth City ,1769,Victory Elementary,              70
2022-2023,121,Portsmouth City ,230,Waterview Elementary,              55
2022-2023,121,Portsmouth City ,210,Westhaven Elementary,              61
2022-2023,121,Portsmouth City ,310,William E. Waters Middle,              84
2022-2023,72,Powhatan County ,21,Flat Rock Elementary,             118
2022-2023,72,Powhatan County ,231,Pocahontas Elementary,             121
2022-2023,72,Powhatan County ,13,Powhatan Elementary,              58
2022-2023,72,Powhatan County ,11,Powhatan High,             193
2022-2023,72,Powhatan County ,130,Powhatan Middle,             131
2022-2023,73,Prince Edward County ,400,Prince Edward County High,              72
2022-2023,73,Prince Edward County ,10,Prince Edward Elementary,             102
2022-2023,73,Prince Edward County ,20,Prince Edward Middle,              72
2022-2023,74,Prince George County ,340,David A. Harrison Elementary,              96
2022-2023,74,Prince George County ,320,J.E.J. Moore Middle ,             176
2022-2023,74,Prince George County ,310,L.L. Beazley Elementary,              74
2022-2023,74,Prince George County ,280,Middle Road Elementary,              69
2022-2023,74,Prince George County ,290,North Elementary,             128
2022-2023,74,Prince George County ,20,Prince George High,             241
2022-2023,74,Prince George County ,300,South Elementary,              70
2022-2023,75,Prince William County ,330,A. Henderson Elementary,             114
2022-2023,75,Prince William County ,760,Antietam Elementary,              93
2022-2023,75,Prince William County ,200,Ashland Elementary,             120
2022-2023,75,Prince William County ,290,Battlefield High ,             265
2022-2023,75,Prince William County ,670,Bel Air Elementary,              57
2022-2023,75,Prince William County ,600,Belmont Elementary,              76
