School Year,Division Name,fips_code,School Number,School Name,Total Count
2021-2022,Fairfax County,51059,320,Franconia Elementary,76
2021-2022,Fairfax County,51059,440,Franklin Middle,146
2021-2022,Fairfax County,51059,490,Freedom Hill Elementary,95
2021-2022,Fairfax County,51059,1410,Frost Middle,183
2021-2022,Fairfax County,51059,630,Garfield Elementary,38
2021-2022,Fairfax County,51059,1170,Glasgow Middle,279
2021-2022,Fairfax County,51059,970,Glen Forest Elementary,135
2021-2022,Fairfax County,51059,530,Graham Road Elementary,62
2021-2022,Fairfax County,51059,570,Great Falls Elementary,75
2021-2022,Fairfax County,51059,1840,Greenbriar East Elementary,149
2021-2022,Fairfax County,51059,1500,Greenbriar West Elementary,74
2021-2022,Fairfax County,51059,330,Groveton Elementary,107
2021-2022,Fairfax County,51059,690,Gunston Elementary,62
2021-2022,Fairfax County,51059,2210,Halley Elementary,116
2021-2022,Fairfax County,51059,750,Haycock Elementary,88
2021-2022,Fairfax County,51059,1740,Hayfield Elementary,95
2021-2022,Fairfax County,51059,1800,Hayfield Secondary,435
2021-2022,Fairfax County,51059,1250,Herndon Elementary,102
2021-2022,Fairfax County,51059,32,Herndon High,369
2021-2022,Fairfax County,51059,33,Herndon Middle,238
2021-2022,Fairfax County,51059,1330,Hollin Meadows Elementary,68
2021-2022,Fairfax County,51059,1521,Holmes Middle,183
2021-2022,Fairfax County,51059,350,Hughes Middle,185
2021-2022,Fairfax County,51059,1880,Hunt Valley Elementary,101
2021-2022,Fairfax County,51059,1950,Hunters Woods Elementary School for the Arts and Sciences,80
2021-2022,Fairfax County,51059,1980,Hutchison Elementary,127
2021-2022,Fairfax County,51059,1420,Hybla Valley Elementary,113
2021-2022,Fairfax County,51059,1120,Irving Middle,186
2021-2022,Fairfax County,51059,2235,Island Creek Elementary,123
2021-2022,Fairfax County,51059,673,Jackson Middle,176
2021-2022,Fairfax County,51059,1110,Johnson Middle,164
2021-2022,Fairfax County,51059,1070,Justice High,374
2021-2022,Fairfax County,51059,1240,Keene Mill Elementary,80
2021-2022,Fairfax County,51059,980,Kent Gardens Elementary,84
2021-2022,Fairfax County,51059,1901,Key Center,60
2021-2022,Fairfax County,51059,1900,Key Middle,146
2021-2022,Fairfax County,51059,1761,Kilmer Center,60
2021-2022,Fairfax County,51059,1760,Kilmer Middle,133
2021-2022,Fairfax County,51059,1890,Kings Glen Elementary,78
2021-2022,Fairfax County,51059,1440,Kings Park Elementary,86
2021-2022,Fairfax County,51059,1570,Lake Anne Elementary,89
2021-2022,Fairfax County,51059,90,Lake Braddock Secondary,638
2021-2022,Fairfax County,51059,2209,Lane Elementary,97
2021-2022,Fairfax County,51059,1460,Langley High,177
2021-2022,Fairfax County,51059,2348,Laurel Hill Elementary,72
2021-2022,Fairfax County,51059,1970,Laurel Ridge Elementary,145
2021-2022,Fairfax County,51059,1850,Lees Corner Elementary,94
2021-2022,Fairfax County,51059,770,Lemon Road Elementary,60
2021-2022,Fairfax County,51059,1020,Lewis High,291
2021-2022,Fairfax County,51059,2233,Liberty Middle,176
2021-2022,Fairfax County,51059,1400,Little Run Elementary,78
2021-2022,Fairfax County,51059,1830,London Towne Elementary,107
2021-2022,Fairfax County,51059,1150,Longfellow Middle,146
2021-2022,Fairfax County,51059,2236,Lorton Station Elementary,88
2021-2022,Fairfax County,51059,890,Lynbrook Elementary,87
2021-2022,Fairfax County,51059,1060,Madison High,296
2021-2022,Fairfax County,51059,1210,Mantua Elementary,118
2021-2022,Fairfax County,51059,1290,Marshall High,293
2021-2022,Fairfax County,51059,1200,Marshall Road Elementary,107
2021-2022,Fairfax County,51059,2410,Mason Crest Elementary,132
2021-2022,Fairfax County,51059,790,McLean High,270
2021-2022,Fairfax County,51059,2231,McNair Elementary,80
2021-2022,Fairfax County,51059,2200,McNair Upper Elementary,46
2021-2022,Fairfax County,51059,1390,Mosaic Elementary,125
2021-2022,Fairfax County,51059,510,Mount Eagle Elementary,52
2021-2022,Fairfax County,51059,420,Mount Vernon High,381
2021-2022,Fairfax County,51059,1640,Mount Vernon Woods Elementary,99
2021-2022,Fairfax County,51059,2211,Mountain View High,19
2021-2022,Fairfax County,51059,800,Navy Elementary,80
2021-2022,Fairfax County,51059,470,Newington Forest Elementary,86
2021-2022,Fairfax County,51059,930,North Springfield Elementary,113
2021-2022,Fairfax County,51059,430,Oak Hill Elementary,107
2021-2022,Fairfax County,51059,1860,Oak View Elementary,111
2021-2022,Fairfax County,51059,140,Oakton Elementary,101
2021-2022,Fairfax County,51059,1710,Oakton High,290
2021-2022,Fairfax County,51059,1650,Olde Creek Elementary,104
2021-2022,Fairfax County,51059,150,Orange Hunt Elementary,129
2021-2022,Fairfax County,51059,1030,Parklawn Elementary,77
2021-2022,Fairfax County,51059,2440,Pimmit Early Childhood Resource Center,44
2021-2022,Fairfax County,51059,820,Pine Spring Elementary,98
2021-2022,Fairfax County,51059,1130,Poe Middle,173
2021-2022,Fairfax County,51059,2080,Poplar Tree Elementary,96
2021-2022,Fairfax County,51059,2237,Powell Elementary,107
2021-2022,Fairfax County,51059,2230,Providence Elementary,112
2021-2022,Fairfax County,51059,1310,Ravensworth Elementary,77
2021-2022,Fairfax County,51059,1820,Riverside Elementary,117
2021-2022,Fairfax County,51059,1960,Robinson Secondary,530
2021-2022,Fairfax County,51059,300,Rocky Run Middle,79
2021-2022,Fairfax County,51059,1770,Rolling Valley Elementary,87
2021-2022,Fairfax County,51059,950,Rose Hill Elementary,143
2021-2022,Fairfax County,51059,1300,Sandburg Middle,226
2021-2022,Fairfax County,51059,2030,Sangster Elementary,106
2021-2022,Fairfax County,51059,2040,Saratoga Elementary,106
2021-2022,Fairfax County,51059,80,Sherman Elementary,47
2021-2022,Fairfax County,51059,1660,Shrevewood Elementary,97
2021-2022,Fairfax County,51059,1680,Silverbrook Elementary,109
2021-2022,Fairfax County,51059,710,Sleepy Hollow Elementary,81
2021-2022,Fairfax County,51059,2241,South County High,328
2021-2022,Fairfax County,51059,2420,South County Middle,145
2021-2022,Fairfax County,51059,1990,South Lakes High,481
2021-2022,Fairfax County,51059,1620,Spring Hill Elementary,76
2021-2022,Fairfax County,51059,960,Springfield Estates Elementary,61
2021-2022,Fairfax County,51059,1380,Stenwood Elementary,90
2021-2022,Fairfax County,51059,2070,Stone Middle,134
2021-2022,Fairfax County,51059,1350,Stratford Landing Elementary,100
2021-2022,Fairfax County,51059,280,Sunrise Valley Elementary,58
2021-2022,Fairfax County,51059,170,Terra Centre Elementary,131
2021-2022,Fairfax County,51059,250,Terraset Elementary,112
2021-2022,Fairfax County,51059,1371,Thomas Jefferson High for Science and Technology,23
2021-2022,Fairfax County,51059,1140,Thoreau Middle,168
2021-2022,Fairfax County,51059,830,Timber Lane Elementary,104
2021-2022,Fairfax County,51059,1160,Twain Middle,143
2021-2022,Fairfax County,51059,1540,Union Mill Elementary,109
2021-2022,Fairfax County,51059,120,Vienna Elementary,71
2021-2022,Fairfax County,51059,2252,Virginia Hills Early Childhood Resource Center,278
2021-2022,Fairfax County,51059,2050,Virginia Run Elementary,99
2021-2022,Fairfax County,51059,850,Wakefield Forest Elementary,73
2021-2022,Fairfax County,51059,2100,Waples Mill Elementary,147
2021-2022,Fairfax County,51059,1320,Washington Mill Elementary,104
2021-2022,Fairfax County,51059,1080,Waynewood Elementary,87
2021-2022,Fairfax County,51059,900,West Potomac High,426
2021-2022,Fairfax County,51059,1430,West Springfield Elementary,106
2021-2022,Fairfax County,51059,1610,West Springfield High,379
2021-2022,Fairfax County,51059,1580,Westbriar Elementary,70
2021-2022,Fairfax County,51059,2228,Westfield High,410
2021-2022,Fairfax County,51059,1670,Westgate Elementary,81
2021-2022,Fairfax County,51059,580,Westlawn Elementary,98
2021-2022,Fairfax County,51059,520,Weyanoke Elementary,70
2021-2022,Fairfax County,51059,400,White Oaks Elementary,105
2021-2022,Fairfax County,51059,1550,Whitman Middle,152
2021-2022,Fairfax County,51059,2060,Willow Springs Elementary,109
2021-2022,Fairfax County,51059,1810,Wolftrap Elementary,59
2021-2022,Fairfax County,51059,650,Woodburn Elementary,69
2021-2022,Fairfax County,51059,380,Woodlawn Elementary,107
2021-2022,Fairfax County,51059,590,Woodley Hills Elementary,84
2021-2022,Fairfax County,51059,1260,Woodson High,426
2021-2022,Falls Church City,51610,270,Jessie Thackrey  Preschool,24
2021-2022,Falls Church City,51610,1060,Madison High,<
2021-2022,Falls Church City,51610,252,Mary Ellen Henderson Middle,82
2021-2022,Falls Church City,51610,251,Meridian High,116
2021-2022,Falls Church City,51610,240,Mount Daniel Elementary,51
2021-2022,Falls Church City,51610,260,Oak Street Elementary,65
2021-2022,Fauquier County,51061,854,Auburn Middle,79
2021-2022,Fauquier County,51061,460,C. Hunter Ritchie Elementary,83
2021-2022,Fauquier County,51061,730,C.M. Bradley Elementary,58
2021-2022,Fauquier County,51061,520,Cedar Lee Middle,86
2021-2022,Fauquier County,51061,120,Claude Thompson Elementary,24
2021-2022,Fauquier County,51061,701,Fauquier High,173
2021-2022,Fauquier County,51061,450,Grace Miller Elementary,68
2021-2022,Fauquier County,51061,511,Greenville Elementary,70
2021-2022,Fauquier County,51061,750,H.M. Pearson Elementary,54
2021-2022,Fauquier County,51061,853,James G. Brumfield Elementary,87
2021-2022,Fauquier County,51061,510,Kettle Run High,149
2021-2022,Fauquier County,51061,851,Liberty High,217
2021-2022,Fauquier County,51061,530,Margaret M. Pierce Elementary,72
2021-2022,Fauquier County,51061,10,Marshall Middle,66
2021-2022,Fauquier County,51061,20,Mary Walter Elementary,49
2021-2022,Fauquier County,51061,720,P.B. Smith Elementary,73
2021-2022,Fauquier County,51061,670,W.C. Taylor Middle,63
2021-2022,Fauquier County,51061,740,W.G. Coleman Elementary,50
2021-2022,Fauquier County,51061,660,Warrenton Middle,52
2021-2022,Floyd County,51063,90,Check Elementary,42
2021-2022,Floyd County,51063,660,Floyd County High,111
2021-2022,Floyd County,51063,360,Floyd Elementary,107
2021-2022,Floyd County,51063,650,Indian Valley Elementary,21
2021-2022,Floyd County,51063,500,Willis Elementary,14
2021-2022,Fluvanna County,51065,300,Carysbrook Elementary,75
2021-2022,Fluvanna County,51065,310,Central Elementary,55
2021-2022,Fluvanna County,51065,260,Fluvanna County High,197
2021-2022,Fluvanna County,51065,320,Fluvanna Middle,97
2021-2022,Fluvanna County,51065,330,West Central Primary,59
2021-2022,Franklin City,51620,20,Franklin High,48
2021-2022,Franklin City,51620,561,Joseph P. King Jr. Middle,28
2021-2022,Franklin City,51620,10,S.P. Morton Elementary,45
2021-2022,Franklin County,51067,31,Benjamin Franklin Middle,265
2021-2022,Franklin County,51067,1370,Boones Mill Elementary,38
2021-2022,Franklin County,51067,1320,Burnt Chimney Elementary,64
2021-2022,Franklin County,51067,350,Callaway Elementary,25
2021-2022,Franklin County,51067,20,Dudley Elementary,30
2021-2022,Franklin County,51067,1360,Ferrum Elementary,41
2021-2022,Franklin County,51067,1311,Franklin County High,290
2021-2022,Franklin County,51067,690,Glade Hill Elementary,33
2021-2022,Franklin County,51067,10,Henry Elementary,35
2021-2022,Franklin County,51067,660,Lee M. Waid Elementary,76
2021-2022,Franklin County,51067,1380,Rocky Mount Elementary,72
2021-2022,Franklin County,51067,1170,Snow Creek Elementary,33
2021-2022,Franklin County,51067,960,Sontag Elementary,48
2021-2022,Franklin County,51067,980,Windy Gap Elementary,41
2021-2022,Frederick County,51069,586,Admiral Richard E. Byrd Middle,109
2021-2022,Frederick County,51069,10,Apple Pie Ridge Elementary,76
2021-2022,Frederick County,51069,320,Armel Elementary,83
2021-2022,Frederick County,51069,20,Bass-Hoover Elementary,69
2021-2022,Frederick County,51069,587,Evendale Elementary,74
2021-2022,Frederick County,51069,460,Frederick County Middle,103
2021-2022,Frederick County,51069,380,Gainesboro Elementary,71
2021-2022,Frederick County,51069,590,Greenwood Mill Elementary,72
2021-2022,Frederick County,51069,40,Indian Hollow Elementary,51
2021-2022,Frederick County,51069,30,James Wood High,214
2021-2022,Frederick County,51069,420,James Wood Middle,121
2021-2022,Frederick County,51069,591,Jordan Springs Elementary,77
2021-2022,Frederick County,51069,340,Middletown Elementary,75
2021-2022,Frederick County,51069,584,Millbrook High,204
2021-2022,Frederick County,51069,583,Orchard View Elementary,78
2021-2022,Frederick County,51069,582,Redbud Run Elementary,72
2021-2022,Frederick County,51069,480,Robert E. Aylor Middle,121
2021-2022,Frederick County,51069,581,Sherando High,222
2021-2022,Frederick County,51069,410,Stonewall Elementary,46
2021-2022,Fredericksburg City,51630,50,Hugh Mercer Elementary,81
2021-2022,Fredericksburg City,51630,40,James Monroe High,116
2021-2022,Fredericksburg City,51630,272,Lafayette Elementary,79
2021-2022,Fredericksburg City,51630,30,Walker-Grant Early Childhood Center,31
2021-2022,Fredericksburg City,51630,273,Walker-Grant Middle,131
2021-2022,Galax City,51640,10,Galax Elementary,89
2021-2022,Galax City,51640,31,Galax High,50
2021-2022,Galax City,51640,32,Galax Middle,45
2021-2022,Giles County,51071,10,Eastern Elementary/Middle,90
2021-2022,Giles County,51071,461,Giles High,87
2021-2022,Giles County,51071,390,Macy Mcclaugherty Elementary/Middle,106
2021-2022,Giles County,51071,400,Narrows Elementary/Middle,123
2021-2022,Giles County,51071,470,Narrows High,82
2021-2022,Gloucester County,51073,250,Abingdon Elementary,64
2021-2022,Gloucester County,51073,240,Achilles Elementary,76
2021-2022,Gloucester County,51073,381,Bethel Elementary,93
2021-2022,Gloucester County,51073,100,Botetourt Elementary,84
2021-2022,Gloucester County,51073,260,Gloucester High,209
2021-2022,Gloucester County,51073,802,Page Middle,84
2021-2022,Gloucester County,51073,280,Peasley Middle,79
2021-2022,Gloucester County,51073,270,Petsworth Elementary,53
2021-2022,Goochland County,51075,120,Byrd Elementary,41
2021-2022,Goochland County,51075,360,Goochland Elementary,76
2021-2022,Goochland County,51075,220,Goochland High,95
2021-2022,Goochland County,51075,340,Goochland Middle,82
2021-2022,Goochland County,51075,260,Randolph Elementary,48
2021-2022,Grayson County,51077,480,Fairview Elementary,24
2021-2022,Grayson County,51077,911,Fries Elementary,60
2021-2022,Grayson County,51077,421,Grayson County High,69
2021-2022,Grayson County,51077,430,Grayson Highlands,22
2021-2022,Grayson County,51077,422,Independence Elementary,34
2021-2022,Grayson County,51077,11,Independence Middle,48
2021-2022,Greene County,51079,20,Nathanael Greene Elementary,38
2021-2022,Greene County,51079,10,Nathanael Greene Primary,69
2021-2022,Greene County,51079,30,Ruckersville Elementary,50
2021-2022,Greene County,51079,72,William Monroe High,143
2021-2022,Greene County,51079,71,William Monroe Middle,92
2021-2022,Greensville County,51081,260,Belfield Elementary,22
2021-2022,Greensville County,51081,190,Edward W. Wyatt Middle,76
2021-2022,Greensville County,51081,200,Greensville County High,73
2021-2022,Greensville County,51081,50,Greensville Elementary,109
2021-2022,Halifax County,51083,1560,Clays Mill Elementary,38
2021-2022,Halifax County,51083,20,Cluster Springs Elementary,80
2021-2022,Halifax County,51083,10,Halifax County High,249
2021-2022,Halifax County,51083,1480,Halifax County Middle,172
2021-2022,Halifax County,51083,1550,Meadville Elementary,25
2021-2022,Halifax County,51083,1510,Scottsburg Elementary,49
2021-2022,Halifax County,51083,1521,Sinai Elementary,24
2021-2022,Halifax County,51083,30,South Boston Elementary,110
2021-2022,Halifax County,51083,950,South Boston/Halifax Early Learning Center,30
2021-2022,Halifax County,51083,1490,Sydnor Jennings Elementary,33
2021-2022,Hampton City,51650,500,A.W.E. Bassette Elementary,45
2021-2022,Hampton City,51650,160,Aberdeen Elementary,66
2021-2022,Hampton City,51650,470,Albert W. Patrick III Elementary,55
2021-2022,Hampton City,51650,260,Alfred S. Forrest Elementary,32
2021-2022,Hampton City,51650,120,Armstrong Elementary,29
2021-2022,Hampton City,51650,330,Barron Elementary,49
2021-2022,Hampton City,51650,350,Benjamin Syms Middle,173
2021-2022,Hampton City,51650,430,Bethel High,262
2021-2022,Hampton City,51650,450,C. Alton Lindsay Middle,128
2021-2022,Hampton City,51650,460,Captain John Smith Elementary,54
2021-2022,Hampton City,51650,300,Cesar Tarrant Middle,129
2021-2022,Hampton City,51650,420,Christopher C. Kraft Elementary,47
2021-2022,Hampton City,51650,30,Francis Asbury Elementary,58
2021-2022,Hampton City,51650,70,Francis W. Jones Magnet Middle,61
2021-2022,Hampton City,51650,650,George P. Phenix Elementary,179
2021-2022,Hampton City,51650,280,Hampton High,182
2021-2022,Hampton City,51650,640,Hunter B. Andrews,114
2021-2022,Hampton City,51650,250,Jane H. Bryan Elementary,48
2021-2022,Hampton City,51650,320,Kecoughtan High,205
2021-2022,Hampton City,51650,490,Luther W. Machen Elementary,40
2021-2022,Hampton City,51650,440,Mary S. Peake Elementary,46
2021-2022,Hampton City,51650,270,Mary T. Christian Elementary,23
2021-2022,Hampton City,51650,360,Mary W. Jackson Elementary,48
2021-2022,Hampton City,51650,210,Moton Early Childhood Center,20
2021-2022,Hampton City,51650,410,Paul Burbank Elementary,59
2021-2022,Hampton City,51650,370,Phillips Elementary,46
2021-2022,Hampton City,51650,50,Phoebus High,213
2021-2022,Hampton City,51650,180,Samuel P. Langley Elementary,64
2021-2022,Hampton City,51650,380,Thomas Eaton Middle,64
2021-2022,Hampton City,51650,80,William Mason Cooper Elementary,34
2021-2022,Hanover County,51085,62,Atlee High,190
2021-2022,Hanover County,51085,360,Battlefield Park Elementary,75
2021-2022,Hanover County,51085,20,Beaverdam Elementary,36
2021-2022,Hanover County,51085,440,Bell Creek Middle,165
2021-2022,Hanover County,51085,61,Chickahominy Middle,134
2021-2022,Hanover County,51085,70,Cold Harbor Elementary,90
2021-2022,Hanover County,51085,551,Cool Spring Elementary,115
2021-2022,Hanover County,51085,430,Elmont Elementary,67
2021-2022,Hanover County,51085,554,Hanover High,181
2021-2022,Hanover County,51085,150,Henry Clay Elementary,47
2021-2022,Hanover County,51085,162,John M. Gandy Elementary,52
2021-2022,Hanover County,51085,200,Kersey Creek Elementary,103
2021-2022,Hanover County,51085,210,Laurel Meadow Elementary,88
2021-2022,Hanover County,51085,450,Liberty Middle,140
2021-2022,Hanover County,51085,420,Mechanicsville Elementary,125
2021-2022,Hanover County,51085,370,Mechanicsville High,196
2021-2022,Hanover County,51085,553,Oak Knoll Middle,130
2021-2022,Hanover County,51085,400,Patrick Henry High,185
2021-2022,Hanover County,51085,410,Pearson's Corner Elementary,87
2021-2022,Hanover County,51085,552,Pole Green Elementary,83
2021-2022,Hanover County,51085,30,Rural Point Elementary,116
2021-2022,Hanover County,51085,40,South Anna Elementary,61
2021-2022,Hanover County,51085,290,Washington-Henry Elementary,49
2021-2022,Harrisonburg City,51660,120,Bluestone Elementary,59
2021-2022,Harrisonburg City,51660,12,Harrisonburg High,159
2021-2022,Harrisonburg City,51660,50,Keister Elementary,34
2021-2022,Harrisonburg City,51660,111,Skyline Middle,85
2021-2022,Harrisonburg City,51660,110,Smithland Elementary,112
2021-2022,Harrisonburg City,51660,60,Spotswood Elementary,43
2021-2022,Harrisonburg City,51660,191,Stone Spring Elementary,71
2021-2022,Harrisonburg City,51660,80,Thomas Harrison Middle,77
2021-2022,Harrisonburg City,51660,30,Waterman Elementary,55
2021-2022,Henrico County,51087,450,Anthony P. Mehfoud Elementary,59
2021-2022,Henrico County,51087,320,Arthur Ashe Jr. Elementary,88
2021-2022,Henrico County,51087,500,Brookland Middle,197
2021-2022,Henrico County,51087,120,Cashell Donahoe Elementary,58
2021-2022,Henrico County,51087,590,Chamberlayne Elementary,46
2021-2022,Henrico County,51087,530,Charles M. Johnson Elementary,57
2021-2022,Henrico County,51087,93,Colonial Trail Elementary,56
2021-2022,Henrico County,51087,400,Crestview Elementary,62
2021-2022,Henrico County,51087,82,David A. Kaechele Elementary,62
2021-2022,Henrico County,51087,160,Deep Run High,168
2021-2022,Henrico County,51087,410,Douglas S. Freeman High,213
2021-2022,Henrico County,51087,700,Dumbarton Elementary,53
2021-2022,Henrico County,51087,300,Echo Lake Elementary,57
2021-2022,Henrico County,51087,680,Elizabeth Holladay Elementary,69
2021-2022,Henrico County,51087,92,Elko Middle,164
2021-2022,Henrico County,51087,200,Fair Oaks Elementary,73
2021-2022,Henrico County,51087,510,Fairfield Middle,181
2021-2022,Henrico County,51087,150,Gayton Elementary,65
2021-2022,Henrico County,51087,470,George F. Baker Elementary,58
2021-2022,Henrico County,51087,390,George H. Moody Middle,72
2021-2022,Henrico County,51087,20,Glen Allen Elementary,72
2021-2022,Henrico County,51087,96,Glen Allen High,202
2021-2022,Henrico County,51087,380,Glen Lea Elementary,55
2021-2022,Henrico County,51087,260,Greenwood Elementary,76
2021-2022,Henrico County,51087,420,Harold Macon Ratcliffe Elementary,65
2021-2022,Henrico County,51087,94,Harvie Elementary,90
2021-2022,Henrico County,51087,610,Henrico High,237
2021-2022,Henrico County,51087,330,Henry D. Ward Elementary,76
2021-2022,Henrico County,51087,670,Hermitage High,272
2021-2022,Henrico County,51087,640,Highland Springs Elementary,77
2021-2022,Henrico County,51087,190,Highland Springs High,346
2021-2022,Henrico County,51087,95,Holman Middle,88
2021-2022,Henrico County,51087,100,Hungary Creek Middle,127
2021-2022,Henrico County,51087,620,Jackson Davis Elementary,72
2021-2022,Henrico County,51087,660,Jacob L. Adams Elementary,60
2021-2022,Henrico County,51087,600,John Randolph Tucker High,232
2021-2022,Henrico County,51087,130,John Rolfe Middle,194
2021-2022,Henrico County,51087,250,L. Douglas Wilder Middle,111
2021-2022,Henrico County,51087,430,Laburnum Elementary,59
2021-2022,Henrico County,51087,370,Lakeside Elementary,63
2021-2022,Henrico County,51087,50,Longdale Elementary,97
2021-2022,Henrico County,51087,490,Maude Trevvett Elementary,47
2021-2022,Henrico County,51087,540,Maybeury Elementary,70
2021-2022,Henrico County,51087,140,Mills E. Godwin High,200
2021-2022,Henrico County,51087,210,Montrose Elementary,45
2021-2022,Henrico County,51087,270,Nuckols Farm Elementary,65
2021-2022,Henrico County,51087,440,Pemberton Elementary,64
2021-2022,Henrico County,51087,570,Pinchbeck Elementary,53
2021-2022,Henrico County,51087,280,Pocahontas Middle,73
2021-2022,Henrico County,51087,690,Quioccasin Middle,164
2021-2022,Henrico County,51087,630,R.C. Longan Elementary,71
2021-2022,Henrico County,51087,90,Ridge Elementary,34
2021-2022,Henrico County,51087,240,Rivers Edge Elementary,40
2021-2022,Henrico County,51087,650,Ruby F. Carver Elementary,74
2021-2022,Henrico County,51087,220,Sandston Elementary,34
2021-2022,Henrico County,51087,550,Seven Pines Elementary,54
2021-2022,Henrico County,51087,710,Shady Grove Elementary,75
2021-2022,Henrico County,51087,60,Short Pump Elementary,46
2021-2022,Henrico County,51087,80,Short Pump Middle,100
2021-2022,Henrico County,51087,480,Skipwith Elementary,59
2021-2022,Henrico County,51087,230,Springfield Park Elementary,76
2021-2022,Henrico County,51087,10,Three Chopt Elementary,47
2021-2022,Henrico County,51087,360,Tuckahoe Elementary,89
2021-2022,Henrico County,51087,520,Tuckahoe Middle,108
2021-2022,Henrico County,51087,310,Twin Hickory Elementary,53
2021-2022,Henrico County,51087,290,Varina Elementary,34
2021-2022,Henrico County,51087,580,Varina High,326
2021-2022,Henry County,51089,361,Axton Elementary,48
2021-2022,Henry County,51089,10,Bassett High,180
2021-2022,Henry County,51089,590,Campbell Court Elementary,43
2021-2022,Henry County,51089,530,Drewry Mason Elementary,59
2021-2022,Henry County,51089,620,Fieldale-Collinsville Middle,143
2021-2022,Henry County,51089,480,G.W. Carver Elementary,76
2021-2022,Henry County,51089,670,Laurel Park Middle,123
2021-2022,Henry County,51089,20,Magna Vista High,148
2021-2022,Henry County,51089,661,Meadow View Elementary,112
2021-2022,Henry County,51089,872,Mount Olivet Elementary,36
2021-2022,Henry County,51089,740,Rich Acres Elementary,46
2021-2022,Henry County,51089,220,Sanville Elementary,42
2021-2022,Henry County,51089,760,Stanleytown Elementary,57
2021-2022,Highland County,51091,110,Highland Elementary,19
2021-2022,Highland County,51091,220,Highland High,10
2021-2022,Hopewell City,51670,110,Carter G. Woodson Middle,172
2021-2022,Hopewell City,51670,40,Dupont Elementary,128
2021-2022,Hopewell City,51670,140,Harry E. James Elementary,117
2021-2022,Hopewell City,51670,120,Hopewell High,194
2021-2022,Hopewell City,51670,70,Patrick Copeland Elementary,111
2021-2022,Hopewell City,51670,151,Woodlawn Pre-School Learning Center,48
2021-2022,Isle of Wight County,51093,421,Carrollton Elementary,86
2021-2022,Isle of Wight County,51093,280,Carrsville Elementary,30
2021-2022,Isle of Wight County,51093,422,Georgie D. Tyler Middle,71
2021-2022,Isle of Wight County,51093,320,Hardy Elementary,54
2021-2022,Isle of Wight County,51093,40,Smithfield High,174
2021-2022,Isle of Wight County,51093,50,Smithfield Middle,85
2021-2022,Isle of Wight County,51093,424,Westside Elementary,119
2021-2022,Isle of Wight County,51093,240,Windsor Elementary,100
2021-2022,Isle of Wight County,51093,250,Windsor High,69
2021-2022,King George County,51099,100,King George Elementary,161
2021-2022,King George County,51099,120,King George High,184
2021-2022,King George County,51099,10,King George Middle,141
2021-2022,King George County,51099,50,Potomac Elementary,87
2021-2022,King George County,51099,221,Sealston Elementary,86
2021-2022,King William County,51101,180,Acquinton Elementary,50
2021-2022,King William County,51101,190,Cool Spring Primary,69
2021-2022,King William County,51101,160,Hamilton Holmes Middle,69
2021-2022,King William County,51101,130,King William High,95
2021-2022,King and Queen County,51097,280,Central High,52
2021-2022,King and Queen County,51097,200,King & Queen Elementary,44
2021-2022,King and Queen County,51097,290,Lawson-Marriott Elementary,51
2021-2022,Lancaster County,51103,10,Lancaster High,61
2021-2022,Lancaster County,51103,110,Lancaster Middle,50
2021-2022,Lancaster County,51103,210,Lancaster Primary,49
2021-2022,Lee County,51105,160,Dryden Elementary,52
2021-2022,Lee County,51105,330,Elk Knob Elementary,50
2021-2022,Lee County,51105,820,Elydale Middle,26
2021-2022,Lee County,51105,630,Flatwoods Elementary,52
2021-2022,Lee County,51105,470,Jonesville Middle,42
2021-2022,Lee County,51105,300,Lee High,112
2021-2022,Lee County,51105,290,Pennington Middle,59
2021-2022,Lee County,51105,670,Rose Hill Elementary,33
2021-2022,Lee County,51105,200,St. Charles Elementary,42
2021-2022,Lee County,51105,880,Thomas Walker High,63
2021-2022,Lexington City,51678,1390,Harrington Waddell Elementary,27
2021-2022,Lexington City,51678,1440,Lylburn Downing Middle,13
2021-2022,Lexington City,51678,22,Rockbridge County High,17
2021-2022,Loudoun County,51107,510,Aldie Elementary,13
2021-2022,Loudoun County,51107,150,Algonkian Elementary,84
2021-2022,Loudoun County,51107,610,Arcola Elementary,100
2021-2022,Loudoun County,51107,170,Ashburn Elementary,68
2021-2022,Loudoun County,51107,220,Ball's Bluff Elementary,59
2021-2022,Loudoun County,51107,650,Banneker Elementary,23
2021-2022,Loudoun County,51107,940,Belmont Ridge Middle,100
2021-2022,Loudoun County,51107,300,Belmont Station Elementary,108
2021-2022,Loudoun County,51107,790,Blue Ridge Middle,133
2021-2022,Loudoun County,51107,1120,Brambleton Middle,142
2021-2022,Loudoun County,51107,420,Briar Woods High,180
2021-2022,Loudoun County,51107,740,Broad Run High,141
2021-2022,Loudoun County,51107,450,Buffalo Trail Elementary,61
2021-2022,Loudoun County,51107,460,Cardinal Ridge Elementary,69
2021-2022,Loudoun County,51107,710,Catoctin Elementary,74
2021-2022,Loudoun County,51107,840,Cedar Lane Elementary,71
2021-2022,Loudoun County,51107,160,Cool Spring Elementary,45
2021-2022,Loudoun County,51107,890,Countryside Elementary,62
2021-2022,Loudoun County,51107,540,Creighton's Corner Elementary,80
2021-2022,Loudoun County,51107,1000,Discovery Elementary,77
2021-2022,Loudoun County,51107,31,Dominion High,166
2021-2022,Loudoun County,51107,470,Dominion Trail Elementary,69
