X,Y,LATITUDE,LONGITUDE,PARAMETERS,OBJECTID,STREAM_NAME,STATION_DESCRIPTION,STATION,SURVEY_PROGRAM_CODES,STA_LV1_CODE,LV1_DESCRIPTION,STA_LV2_CODE,LV2_DESCRIPTION,STA_LV3_CODE,LV3_DESCRIPTION,STA_LV4_CODE,LV4_DESCRIPTION,STA_LV5_CODE,LV5_DESCRIPTION,HUC_12,HUC_12_NAME,VAHU5,VAHU6,DOWNSTREAM_HUC_12,VADEQ_ADMIN_REGION,MONITORING_REGION,STATION_ALIAS,STATION_COMMENT,FIRST_SAMPLE_DATE,LAST_SAMPLE_DATE,SAMPLE_COUNT,FIRST_FISH_DATE,LAST_FISH_DATE,FISH_COUNT,FIRST_BENTHIC_DATE,LAST_BENTHIC_DATE,BENTHIC_N,WQX_DESCRIPTION,WQX_LOCATION
-8890565.1465,4598459.3396,38.134611111,-79.865305556,"AW=Nutrients, Bacteria, Field_Parameters.",26,Back Creek,Rt. 600 Bridge Apx 2.5 Mi N Mt Grove,2-BCC010.31,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020802010202,Back Creek-Jim Dave Run,JU-B,JU05,020802010204,Valley,VRO,,,01/31/2007,12/02/2019,37,,,,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8875478.2633,4622621.8375,38.305138889,-79.729777778,"AW=Nutrients, Bacteria, Field_Parameters.",27,Back Creek,Rt. 84 Br. At Mill Gap,2-BCC026.08,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020802010202,Back Creek-Jim Dave Run,JU-B,JU05,020802010204,Valley,VRO,,,01/31/2007,12/02/2019,38,,,,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8652554.7986,4497150.3167,37.415277778,-77.727222223,"AW=Nutrients, Bacteria, Field_Parameters.",28,Blackman Creek,"Blackman Creek, Rt. 667/668 Bridge",2-BCM000.79,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020802070901,Swift Creek-Swift Creek Reservoir,JA-I,JA41,020802070902,Piedmont,PRO,,,03/22/1978,01/02/2025,48,,,,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8721294.5841,4510746.4963,37.512222222,-78.344722222,"AW=Nutrients, Bacteria, Field_Parameters.",29,Buffalo Creek,Buffalo Cr @ Rt 626,2-BFC001.11,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020802050204,Willis River-Buffalo Creek,JM-Q,JM66,020802050301,Piedmont,PRO,,,08/02/2005,11/15/2023,37,,,,05/01/2013,11/15/2023,10,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8857874.3227,4542428.9976,37.737638889,-79.571638889,"AW=Nutrients, Bacteria, Field_Parameters.",30,Rt. 611 Bridge,Rt. 611 Bridge,2-BFS000.15,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020802020502,South Buffalo Creek,JU-T,JU82,020802020505,Valley,VRO,,,02/13/2007,12/10/2019,74,,,,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8841736.0887,4534162.3705,37.678888889,-79.426666666,"AW=Nutrients, Bacteria, Field_Parameters.",31,Buffalo Creek,"Private Br. Off Rt. 700, Upstr Rr Br",2-BLD000.22,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,BIO,Biological Monitoring Site,020802020505,Buffalo Creek,JU-T,JU85,020802020506,Valley,VRO,,"I38;",10/04/1994,12/20/2022,144,,,,10/04/1994,10/11/2012,14,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8748377.3793,4548379.5545,37.7799,-78.588011111,"AW=Nutrients, Bacteria, Field_Parameters.",32,Ballinger Creek,Rt. 626 Bridge (Albemarle County),2-BLR003.00,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,SSTUDY,Special Study Station,,,,,020802031101,James River-Ballinger Creek,JM-K,JM42,020802031102,Valley,VRO,,"Coord. DHS 28Feb01; special study # 55170",08/05/1991,12/11/2019,74,,,,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8649648.1229,4516556.5469,37.553611111,-77.701111111,"AW=Nutrients, Bacteria, Field_Parameters.",33,Bernards Creek,Bernards Cr At Rt. 607 Above Michaux Cr,2-BOR003.61,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,SSTUDY,Special Study Station,,,,,020802050604,James River-Bernards Creek,JM-U,JM83,020802050606,Piedmont,PRO,,James River bacterial TMDL station 2006.,01/10/2006,01/02/2025,24,,,,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8666438.8128,4500226.419,37.437222222,-77.851944444,"AW=Nutrients, Bacteria, Field_Parameters.",34,Butterwood Creek,Butterwood Creek At Rt. 603,2-BWD000.50,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020802070603,Appomattox River-Skinquarter Creek,JA-F,JA23,020802070604,Piedmont,PRO,,,12/09/1994,01/02/2025,54,,,,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8607425.5183,4480233.0961,37.294478,-77.321819,"AW=Nutrients, Bacteria, Field_Parameters.",35,Cabin Creek,Cabin Creek In Mathis Park,2-CCR001.28,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020802071002,Appomattox River-Ashton Creek,JA-J,JA45,020802060201,Piedmont,PRO,,2019 AW station,01/09/2019,12/03/2019,12,,,,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8857599.1162,4546946.1662,37.769722222,-79.569166667,"AW=Nutrients, Bacteria, Field_Parameters.",36,Colliers Creek,Rt. 644 Bridge,2-CLL001.99,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020802020504,Colliers Creek,JU-T,JU84,020802020505,Valley,VRO,,,08/29/2001,12/20/2022,119,,,,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8896607.3212,4574937.6509,37.968222223,-79.919583334,"AW=Nutrients, Bacteria, Field_Parameters.",37,Cedar Creek,Rt. 605 Bridge,2-CRE002.37,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020802010501,Cedar Creek-Hot Springs Run,JU-E,JU09,020802010502,Valley,VRO,,,04/13/1973,12/02/2019,358,,,,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8685363.1263,4518311.8944,37.566111111,-78.021944445,"AW=Nutrients, Bacteria, Field_Parameters.",38,Deep Creek,"Deep Creek, Rt. 60 Bridge",2-DCR007.93,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020802050404,Deep Creek-Maxey Mill Creek,JM-S,JM73,020802050405,Piedmont,PRO,,,08/26/1994,01/02/2025,50,,,,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8930430.4867,4535589.2657,37.689033,-80.223422,"AW=Nutrients, Bacteria, Field_Parameters.",39,Dunlap Creek,Rt. 311 Bridge,2-DNP024.01,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020802010302,Dunlap Creek-Cove Run,JU-C,JU13,020802010304,Blue Ridge,BRRO,,,03/21/2019,12/16/2019,12,,,,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8554779.1792,4461762.06,37.162361111,-76.848888889,"AW=Nutrients, Bacteria, Field_Parameters.",40,Dark Swamp,"Dark Swamp, Rt. 626 Bridge",2-DRK000.31,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020802060703,Grays Creek,JL-G,JL32,020802060704,Piedmont,PRO,,Switched from E to R - JVP 7/26/13,08/08/1994,12/04/2019,27,,,,04/03/2008,04/03/2008,1,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8498510.2688,4442262.8264,37.022638889,-76.343416667,"AW=Nutrients, Bacteria, Field_Parameters.",41,Hampton River,Pier At End Of King Street,2-HAI000.64,AW,ESTURY,Station sample at estuary (freshwater mix with saltwater),AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020802080303,Hampton Roads-Hampton River,JL-L,JL58,020802080304,Tidewater,TRO,,,02/15/2007,12/07/2022,63,,,,,,,Estuary,"a partially enclosed coastal body of brackish water with one or more rivers or streams flowing into it, and with a free connection to the open sea Estuaries form a transition zone between river environments and maritime environments. The sea water entering the estuary is diluted by the fresh water flowing from rivers and streams."
-8829314.6889,4552917.3105,37.812111111,-79.315083333,"AW=Nutrients, Bacteria, Field_Parameters.",42,Irish Creek,Rt. 608 Bridge At Cornwall,2-ISH000.02,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020802020403,Irish Creek,JU-S,JU79,020802020404,Valley,VRO,,,02/13/2007,10/23/2024,40,,,,04/23/2024,04/23/2024,2,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8864216.4415,4515854.4903,37.548611111,-79.628611111,"AW=Nutrients, Bacteria, Field_Parameters.",43,Jennings Creek,Route 614 Bridge - Botetourt County,2-JES000.80,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020802011502,Jennings Creek-North Creek,JU-O,JU57,020802011503,Blue Ridge,BRRO,,";",08/02/1988,11/06/2024,90,,,,05/07/2008,04/04/2024,8,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8893777.9507,4547728.5589,37.775277778,-79.894166667,"AW=Nutrients, Bacteria, Field_Parameters.",44,Karnes Creek,"Private Br.Off Rt. 616,below Conf.White",2-KAR001.59,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020802010505,White Rock Creek-Karnes Creek,JU-E,JU22,020802010507,Blue Ridge,BRRO,,,02/07/1994,11/18/2024,41,,,,04/04/2024,04/04/2024,2,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8883474.0949,4524609.775,37.610941667,-79.801605555,"AW=Nutrients, Bacteria, Field_Parameters.",45,Lapsley Run,Rt. 726 Bridge,2-LAP001.20,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,BIO,Biological Monitoring Site,020802011401,James River-Lapsley Run,JU-N,JU51,020802011402,Blue Ridge,BRRO,,,07/27/2005,12/05/2019,39,,,,05/09/2006,11/20/2006,2,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8535471.3824,4458513.5887,37.139102,-76.675444,"AW=Nutrients, Bacteria, Field_Parameters.",46,Lawnes Creek,At Hog Island Wma Boat Ramp,2-LAW000.42,AW,ESTURY,Station sample at estuary (freshwater mix with saltwater),AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020802060803,Lawnes Creek,JL-H,JL36,020802060804,Piedmont,TRO,,,02/13/2007,12/13/2022,62,10/06/2021,10/06/2021,1,,,,Estuary,"a partially enclosed coastal body of brackish water with one or more rivers or streams flowing into it, and with a free connection to the open sea Estuaries form a transition zone between river environments and maritime environments. The sea water entering the estuary is diluted by the fresh water flowing from rivers and streams."
-8892888.7796,4593396.8647,38.09883187,-79.886179107,"AW=Nutrients, Bacteria, Field_Parameters.",47,Little Back Creek,100yds Upstr Of Rt. 39 Bridge,2-LTB000.01,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020802010203,Little Back Creek,JU-B,JU06,020802010204,Valley,VRO,,,07/12/2001,12/02/2019,49,,,,,,,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
-8917433.8249,4508186.8702,37.493981,-80.106671,"AW=Nutrients, Bacteria, Field_Parameters.",48,Meadow Creek,Rt. 311 Bridge,2-MEO000.38,AW,STREAM,"Station sample at stream(freshwater,freeflow,surface water)",AMBNT,Monitor ambient conditions of environment,AWTSHD,Ambient Watershed Station,,,,,020802011002,Meadow Creek,JU-J,JU42,020802011003,Blue Ridge,BRRO,,,06/04/1996,12/16/2019,81,,,,06/04/1996,11/02/2000,10,River/Stream,A body of water with surface water flowing within the bed and banks of a channel.
